Track Name,Artist Name,Artist Popularity,Album Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Track Duration (s)
Night Changes,One Direction,85,2014-11-17,91,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,4,227.0
Strong,One Direction,85,2013-11-25,81,0.741,0.663,0,-7.308,1,0.0434,0.0608,0.0,0.0931,0.338,115.013,4,184.0
Fireproof,One Direction,85,2014-11-17,70,0.681,0.864,3,-3.276,1,0.0301,0.00477,0.0,0.122,0.921,132.929,4,174.0
Right Now,One Direction,85,2013-11-25,85,0.645,0.78,8,-5.165,1,0.0319,0.218,0.0,0.0919,0.372,120.008,4,200.0
Shape of You,Ed Sheeran,90,2017-03-03,90,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4,234.0
Just the Way You Are,Bruno Mars,87,2010-05-10,82,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,4,221.0
Someone Like You,Adele,85,2011-01-19,2,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,4,285.0
Paris,The Chainsmokers,80,2017-07-04,78,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,4,222.0
bad guy,Billie Eilish,87,2019-03-29,85,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4,194.0
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,81,2015-07-01,0,0.258,0.631,5,-6.617,0,0.0541,0.281,0.0,0.127,0.266,189.583,4,253.0
The Nights,Avicii,81,2014-01-01,89,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,4,177.0
Hymn for the Weekend,Coldplay,88,2015-04-12,87,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,4,258.0
Payphone,Maroon 5,85,2012-01-01,86,0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015,4,231.0
Lucid Dreams,Juice WRLD,88,2018-05-23,0,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,4,240.0
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,88,2019-06-09,87,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,4,158.0
SAD!,XXXTENTACION,86,2018-03-16,84,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4,167.0
